dataset,task,axis,representation,model,split_seed,nominal_dose,partition,audit_amplification,audit_event,evaluation_amplification,evaluation_event,audit_test_rows,evaluation_test_rows
CASE,arousal,subject,facial_emg,gpu_mlp,20260813,0.5,audit,-0.0342857142857142,0,-0.0555555555555555,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260813,0.75,audit,0.02,1,0.0674603174603174,1,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260813,1.0,audit,0.04,1,0.0396825396825396,1,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260829,0.25,heldout,0.0142857142857143,0,-0.0515873015873016,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260829,0.5,heldout,0.0628571428571428,1,-0.0952380952380953,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260829,0.75,heldout,0.0285714285714285,1,-0.0793650793650793,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260829,1.0,heldout,0.0428571428571428,1,-0.1349206349206348,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260911,0.25,audit,0.0942857142857143,1,-0.1071428571428571,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260911,0.5,audit,0.0085714285714286,0,-0.0436507936507936,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260911,0.75,audit,0.0485714285714287,1,0.0119047619047618,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260911,1.0,audit,0.02,1,0.0079365079365079,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260923,0.25,heldout,0.0342857142857142,1,-0.0357142857142857,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260923,0.5,heldout,0.0257142857142856,1,-0.0238095238095238,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260923,0.75,heldout,-0.0342857142857142,0,-0.0357142857142857,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20260923,1.0,heldout,0.0057142857142856,0,-0.0515873015873016,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20261007,0.25,audit,0.0428571428571429,1,0.0039682539682539,0,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20261007,0.5,audit,0.0142857142857143,0,0.0317460317460317,1,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20261007,0.75,audit,0.0485714285714287,1,0.0674603174603174,1,60,60
CASE,arousal,subject,facial_emg,gpu_mlp,20261007,1.0,audit,0.02,1,-0.0238095238095238,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260813,0.25,heldout,-0.06,0,0.0039682539682539,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260813,0.5,heldout,0.0,0,0.0277777777777776,1,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260813,0.75,heldout,0.0142857142857142,0,0.0833333333333332,1,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260813,1.0,heldout,0.0285714285714284,1,0.0039682539682539,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260829,0.25,audit,0.0257142857142856,1,0.0238095238095239,1,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260829,0.5,audit,-0.0742857142857142,0,0.0119047619047619,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260829,0.75,audit,0.0057142857142856,0,0.0238095238095239,1,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260829,1.0,audit,-0.0142857142857143,0,-0.0158730158730158,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260911,0.25,heldout,0.0085714285714285,0,-0.111111111111111,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260911,0.5,heldout,-0.0399999999999999,0,-0.0952380952380952,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260911,0.75,heldout,-0.0742857142857142,0,-0.0793650793650793,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260911,1.0,heldout,-0.0542857142857142,0,-0.0555555555555554,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260923,0.25,audit,-0.0142857142857143,0,0.0119047619047619,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260923,0.5,audit,-0.0628571428571428,0,-0.0357142857142857,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260923,0.75,audit,-0.0342857142857143,0,0.0119047619047619,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20260923,1.0,audit,-0.0028571428571428,0,-0.0436507936507936,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20261007,0.25,heldout,-0.0285714285714286,0,-0.0238095238095238,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20261007,0.5,heldout,0.0142857142857142,0,-0.0674603174603175,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20261007,0.75,heldout,-0.0285714285714286,0,-0.0198412698412699,0,60,60
CASE,arousal,subject,facial_emg,linear_logistic,20261007,1.0,heldout,-0.0228571428571429,0,-0.123015873015873,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260813,0.25,audit,0.0,0,-0.0277777777777776,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260813,0.5,audit,0.0485714285714284,1,-0.0674603174603174,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260813,0.75,audit,0.0285714285714285,1,-0.0396825396825396,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260813,1.0,audit,0.0371428571428571,1,-0.0277777777777776,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260829,0.25,heldout,0.0,0,0.0357142857142857,1,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260829,0.5,heldout,-0.0028571428571427,0,0.0515873015873015,1,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260829,0.75,heldout,-0.0657142857142856,0,0.0039682539682539,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260829,1.0,heldout,-0.1599999999999999,0,-0.0158730158730158,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260911,0.25,audit,-0.0257142857142858,0,0.0515873015873015,1,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260911,0.5,audit,0.0171428571428571,0,0.0,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260911,0.75,audit,-0.0514285714285713,0,-0.0119047619047619,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260911,1.0,audit,-0.0114285714285714,0,-0.0039682539682539,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260923,0.25,heldout,0.0228571428571429,1,0.0357142857142857,1,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260923,0.5,heldout,0.0171428571428571,0,0.0634920634920634,1,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260923,0.75,heldout,-0.0285714285714284,0,0.1507936507936507,1,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20260923,1.0,heldout,0.0657142857142858,1,0.0634920634920634,1,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20261007,0.25,audit,0.0142857142857142,0,0.0753968253968254,1,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20261007,0.5,audit,0.0742857142857142,1,0.0198412698412699,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20261007,0.75,audit,-0.02,0,-0.0119047619047618,0,60,60
CASE,arousal,subject,wearable_core,gpu_mlp,20261007,1.0,audit,0.04,1,0.015873015873016,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260813,0.25,heldout,-0.0542857142857142,0,0.0158730158730158,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260813,0.5,heldout,0.0057142857142857,0,-0.0119047619047618,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260813,0.75,heldout,0.04,1,-0.0595238095238095,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260813,1.0,heldout,0.0257142857142858,1,-0.0515873015873016,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260829,0.25,audit,0.0057142857142856,0,0.0515873015873016,1,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260829,0.5,audit,0.1228571428571427,1,0.0515873015873016,1,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260829,0.75,audit,0.0342857142857142,1,0.0674603174603175,1,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260829,1.0,audit,0.0085714285714284,0,-0.0039682539682539,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260911,0.25,heldout,0.0171428571428572,0,-0.0515873015873016,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260911,0.5,heldout,0.0142857142857143,0,-0.0158730158730159,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260911,0.75,heldout,-0.0114285714285713,0,-0.0079365079365079,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260911,1.0,heldout,0.0,0,-0.0119047619047618,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260923,0.25,audit,0.0142857142857142,0,0.0555555555555555,1,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260923,0.5,audit,-0.02,0,0.0039682539682539,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260923,0.75,audit,0.0028571428571427,0,-0.0238095238095238,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20260923,1.0,audit,-0.0057142857142857,0,0.0158730158730158,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20261007,0.25,heldout,-0.0342857142857142,0,0.0079365079365079,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20261007,0.5,heldout,-0.04,0,0.0198412698412698,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20261007,0.75,heldout,0.0142857142857142,0,0.0039682539682539,0,60,60
CASE,arousal,subject,wearable_core,linear_logistic,20261007,1.0,heldout,0.0057142857142856,0,0.0476190476190476,1,60,60
CASE,valence,subject,all,gpu_mlp,20260813,0.25,audit,-0.0742857142857142,0,-0.0777777777777777,0,60,60
CASE,valence,subject,all,gpu_mlp,20260813,0.5,audit,-0.0628571428571429,0,-0.0666666666666666,0,60,60
CASE,valence,subject,all,gpu_mlp,20260813,0.75,audit,0.0114285714285713,0,-0.0777777777777777,0,60,60
CASE,valence,subject,all,gpu_mlp,20260813,1.0,audit,-0.0742857142857142,0,-0.0777777777777777,0,60,60
CASE,valence,subject,all,gpu_mlp,20260829,0.25,heldout,-0.0057142857142857,0,-0.111111111111111,0,60,60
CASE,valence,subject,all,gpu_mlp,20260829,0.5,heldout,0.0,0,-0.0999999999999998,0,60,60
CASE,valence,subject,all,gpu_mlp,20260829,0.75,heldout,-0.0142857142857143,0,-0.0333333333333332,0,60,60
CASE,valence,subject,all,gpu_mlp,20260829,1.0,heldout,0.0,0,-0.0666666666666666,0,60,60
CASE,valence,subject,all,gpu_mlp,20260911,0.25,audit,0.0657142857142857,1,-0.0222222222222222,0,60,60
CASE,valence,subject,all,gpu_mlp,20260911,0.5,audit,0.0257142857142856,1,-0.0222222222222222,0,60,60
CASE,valence,subject,all,gpu_mlp,20260911,0.75,audit,0.0314285714285713,1,0.0222222222222221,1,60,60
CASE,valence,subject,all,gpu_mlp,20260911,1.0,audit,0.0857142857142856,1,0.0,0,60,60
CASE,valence,subject,all,gpu_mlp,20260923,0.25,heldout,0.0057142857142857,0,0.0111111111111111,0,60,60
CASE,valence,subject,all,gpu_mlp,20260923,0.5,heldout,-0.04,0,0.0777777777777778,1,60,60
CASE,valence,subject,all,gpu_mlp,20260923,0.75,heldout,-0.0285714285714285,0,0.0333333333333334,1,60,60
CASE,valence,subject,all,gpu_mlp,20260923,1.0,heldout,0.0114285714285713,0,0.0222222222222223,1,60,60
CASE,valence,subject,all,gpu_mlp,20261007,0.25,audit,-0.0342857142857141,0,0.0,0,60,60
