dataset,task,representation,n_features,model,split_seed,exposure_effect,axis,metadata_prior_opportunity,label_opportunity,conditional_label_entropy,identity_rate_std,identity_probe_balanced_accuracy,identity_probe_chance,encoding_margin,n_rows,n_subjects,n_repeated_units,repeated_measure_completeness,positive_fraction,class_balance,source,nominal_dose,achieved_dose,unseen_balanced_accuracy,dose_balanced_accuracy,opportunity_min,opportunity_max,opportunity_encoding_interaction,model_capacity,log_n_rows
DEAP,arousal,all,72,extra_trees,20261007,0.0123347217879799,stimulus,0.1420636201349456,0.05091622858642223,0.8615195665880228,0.17699883121603602,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0009347901342038456,3.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260813,0.014170305897066,stimulus,0.0581275252439017,0.0183785517653513,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.4933434861978195,0.5075137920948856,0.0183785517653513,0.1329980202959666,0.0003661352109503579,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260813,-0.0109202126050165,stimulus,0.1017605407877063,0.0470636251402684,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2503015679079906,0.4933434861978195,0.4824232735928029,0.0183785517653513,0.1329980202959666,0.0009375956570912844,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260813,-0.0002647477080412,stimulus,0.1343130079352328,0.0756856063210614,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5000349786650485,0.4933434861978195,0.4930787384897782,0.0183785517653513,0.1329980202959666,0.001507799188427395,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260813,-0.0038678379441457,stimulus,0.1125903846336314,0.1041881999922718,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7491244023206395,0.4933434861978195,0.4894756482536737,0.0183785517653513,0.1329980202959666,0.0020756242967210395,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260813,0.0021003318171273,stimulus,0.1241450361815268,0.1329980202959666,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4933434861978195,0.4954438180149468,0.0183785517653513,0.1329980202959666,0.0026495699355837095,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260829,0.0211772952365584,stimulus,0.0757393100540453,0.0203016194731202,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.4967902492158424,0.5179675444524009,0.0203016194731202,0.1433640780443945,0.00045202824608119187,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260829,0.0162479450535042,stimulus,0.1129886323465651,0.0511046196434454,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2503834412594001,0.4967902492158424,0.5130381942693467,0.0203016194731202,0.1433640780443945,0.0011378762967485887,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260829,0.0014372018436527,stimulus,0.1416068563228686,0.0819289808538582,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5007525745547744,0.4967902492158424,0.4982274510594952,0.0203016194731202,0.1433640780443945,0.0018241999643241863,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260829,0.0077155046343455,stimulus,0.1316342021073405,0.1120616311976752,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.746233801063261,0.4967902492158424,0.504505753850188,0.0203016194731202,0.1433640780443945,0.0024951222571357365,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260829,0.0206477998204758,stimulus,0.1354504320856821,0.1433640780443945,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4967902492158424,0.5174380490363183,0.0203016194731202,0.1433640780443945,0.0031920908002072207,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260911,-0.0036030902361046,stimulus,0.0739834577001834,0.0219533985536672,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.5063413379592743,0.5027382477231697,0.0219533985536672,0.1420896655398121,0.0004888061396714962,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260911,-0.0115833425784914,stimulus,0.1198063331095963,0.0519547832684417,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2497425658308612,0.5063413379592743,0.4947579953807828,0.0219533985536672,0.1420896655398121,0.001156805721211397,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260911,0.001149761474922,stimulus,0.1085002592972606,0.0820368644540381,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5002145010629822,0.5063413379592743,0.5074910994341963,0.0219533985536672,0.1420896655398121,0.0018266020601094418,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260911,-0.0028290183659267,stimulus,0.1405207692880818,0.1112041701103909,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7447903252349722,0.5063413379592743,0.5035123195933475,0.0219533985536672,0.1420896655398121,0.002476030350114172,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260911,-0.0059908624219624,stimulus,0.134236263204894,0.1420896655398121,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.5063413379592743,0.5003504755373118,0.0219533985536672,0.1420896655398121,0.003163715209284878,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260923,0.0235196821010378,stimulus,0.0912797146290695,0.0237544686605571,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.4787319341206846,0.5022516162217224,0.0237544686605571,0.1398524382972415,0.0004361171980649155,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260923,0.0086862462304969,stimulus,0.1142395397647919,0.0527464909176833,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2497422941067696,0.4787319341206846,0.4874181803511815,0.0237544686605571,0.1398524382972415,0.0009683926066918418,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260923,0.0179045092838195,stimulus,0.1160809461224999,0.0817956677915635,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.4997955325763207,0.4787319341206846,0.4966364434045042,0.0237544686605571,0.1398524382972415,0.0015017173383607362,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260923,0.0259074542868957,stimulus,0.1243812212039581,0.1107183696392992,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7491268699855873,0.4787319341206846,0.5046393884075804,0.0237544686605571,0.1398524382972415,0.0020327200675965087,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20260923,0.0141022279149983,stimulus,0.1352343835383949,0.1398524382972415,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4787319341206846,0.4928341620356829,0.0237544686605571,0.1398524382972415,0.0025676033593634183,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20261007,-0.0010816834928544,stimulus,0.0883326844397262,0.0204250547660158,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.5034896269326583,0.5024079434398039,0.0204250547660158,0.1414603408294579,0.00037499123984482133,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20261007,-0.0067195489707617,stimulus,0.1097039372696054,0.0506598219271452,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2497904404419383,0.5034896269326583,0.4967700779618965,0.0204250547660158,0.1414603408294579,0.0009300826681936814,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20261007,-0.0131289649121038,stimulus,0.1176598700121125,0.0808546957691027,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.4993781847897223,0.5034896269326583,0.4903606620205545,0.0204250547660158,0.1414603408294579,0.00148444168013587,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20261007,0.0099923349235004,stimulus,0.1078182398953071,0.1111659340818882,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7496363276123738,0.5034896269326583,0.5134819618561588,0.0204250547660158,0.1414603408294579,0.002040937071034666,4.0,7.154615356913663
DEAP,arousal,all,72,gpu_mlp,20261007,-0.0007059938881101,stimulus,0.1244676462637616,0.1414603408294579,,,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.5034896269326583,0.5027836330445482,0.0204250547660158,0.1414603408294579,0.002597123444915829,4.0,7.154615356913663
DEAP,arousal,all,72,hist_gradient_boosting,20260813,0.0080571552480559,stimulus,0.1352558219281702,0.04672066379954461,0.8627342166631488,0.16809064725526465,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0009307632241315527,3.0,7.154615356913663
DEAP,arousal,all,72,hist_gradient_boosting,20260829,0.0024760214218716,stimulus,0.1403616705832517,0.051759898211017195,0.8619930530490314,0.17866882829707684,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0011524664836046795,3.0,7.154615356913663
DEAP,arousal,all,72,hist_gradient_boosting,20260911,0.0033597744853808,stimulus,0.1347691904267228,0.05221623661870464,0.8627177804053768,0.17797634501234127,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0011626271434633454,3.0,7.154615356913663
DEAP,arousal,all,72,hist_gradient_boosting,20260923,0.0022768302891548,stimulus,0.1414004901614709,0.05333766586397653,0.8611313093854998,0.18030213782006244,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.000979246209221444,3.0,7.154615356913663
DEAP,arousal,all,72,hist_gradient_boosting,20261007,0.0121910016036148,stimulus,0.1420636201349456,0.05091622858642223,0.8615195665880228,0.17699883121603602,0.043359375000000006,0.025,0.018359375,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0009347901342038456,3.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260813,-0.0111622676523686,stimulus,0.1352558219281702,0.04672066379954461,0.8627342166631488,0.16809064725526465,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0009307632241315527,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260813,0.0026752125545884,stimulus,0.0581275252439017,0.0183785517653513,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.5012380107109359,0.5039132232655243,0.0183785517653513,0.1329980202959666,0.0003661352109503579,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260813,0.0021885810531411,stimulus,0.1017605407877063,0.0470636251402684,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2503015679079906,0.5012380107109359,0.503426591764077,0.0183785517653513,0.1329980202959666,0.0009375956570912844,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260813,-0.003426591764077,stimulus,0.1343130079352328,0.0756856063210614,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5000349786650485,0.5012380107109359,0.4978114189468588,0.0183785517653513,0.1329980202959666,0.001507799188427395,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260813,0.00778106120967,stimulus,0.1125903846336314,0.1041881999922718,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7491244023206395,0.5012380107109359,0.5090190719206059,0.0183785517653513,0.1329980202959666,0.0020756242967210395,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260813,0.0129322951861302,stimulus,0.1241450361815268,0.1329980202959666,,,0.044921875,0.025,0.019921875,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.5012380107109359,0.5141703058970661,0.0183785517653513,0.1329980202959666,0.0026495699355837095,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260829,0.0004210749261228,stimulus,0.1403616705832517,0.051759898211017195,0.8619930530490314,0.17866882829707684,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,observational_factorial,,,,,,,0.0011524664836046795,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260829,0.0203149741303668,stimulus,0.0757393100540453,0.0203016194731202,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.0,0.0,0.4917726497967746,0.5120876239271415,0.0203016194731202,0.1433640780443945,0.00045202824608119187,1.0,7.154615356913663
DEAP,arousal,all,72,linear_logistic,20260829,0.02011578299765,stimulus,0.1129886323465651,0.0511046196434454,,,0.047265625,0.025,0.022265624999999997,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2503834412594001,0.4917726497967746,0.5118884327944246,0.0203016194731202,0.1433640780443945,0.0011378762967485887,1.0,7.154615356913663
