dataset,task,representation,n_features,model,split_seed,exposure_effect,axis,metadata_prior_opportunity,label_opportunity,conditional_label_entropy,identity_rate_std,identity_probe_balanced_accuracy,identity_probe_chance,encoding_margin,n_rows,n_subjects,n_repeated_units,repeated_measure_completeness,positive_fraction,class_balance,source,nominal_dose,achieved_dose,unseen_balanced_accuracy,dose_balanced_accuracy,opportunity_min,opportunity_max,opportunity_encoding_interaction,model_capacity,log_n_rows,dose_zero_exposure_effect,dose_zero_label_opportunity,dose_zero_metadata_prior_opportunity,dose_induced_amplification,opportunity_delta,metadata_prior_delta,dose_encoding_interaction,material_optimism_event,risk_row_id
DEAP,arousal,all,72,gpu_mlp,20260911,0.0632217526802553,subject,0.0894910512446965,0.091104319889083,,,0.911328125,0.03125,0.880078125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7498711083123482,0.5063413379592743,0.5695630906395296,0.0126240897781276,0.1174446589850672,0.08017891902738439,4.0,7.154615356913663,0.0363864207118435,0.0126240897781276,0.0548379274568029,0.0268353319684118,0.07848023011095541,0.0346531237878936,0.06906873376561819,1,10
DEAP,arousal,all,72,gpu_mlp,20260911,0.0786956258635818,subject,0.0889609573105153,0.1174446589850672,,,0.911328125,0.03125,0.880078125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.5063413379592743,0.5850369638228561,0.0126240897781276,0.1174446589850672,0.10336047527084236,4.0,7.154615356913663,0.0363864207118435,0.0126240897781276,0.0548379274568029,0.04230920515173829,0.1048205692069396,0.0341230298537124,0.09225029000907616,1,11
DEAP,arousal,all,72,gpu_mlp,20260923,0.0760632772236286,subject,0.052702406108427,0.0366050602487406,,,0.91328125,0.03125,0.88203125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2503427494251778,0.4787319341206846,0.5547952113443132,0.0115940881270749,0.1114964861241677,0.03228680704752198,4.0,7.154615356913663,0.0685696563826889,0.0115940881270749,0.0544230136822242,0.007493620840939699,0.025010972121665698,-0.0017206075737972032,0.02206045900418795,0,12
DEAP,arousal,all,72,gpu_mlp,20260923,0.0661818841968311,subject,0.0586895313033368,0.0615519706342296,,,0.91328125,0.03125,0.88203125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.4999943147562614,0.4787319341206846,0.5449138183175157,0.0115940881270749,0.1114964861241677,0.05429076159847283,4.0,7.154615356913663,0.0685696563826889,0.0115940881270749,0.0544230136822242,-0.0023877721858577977,0.049957882507154695,0.004266517621112603,0.04406441355513879,0,13
DEAP,arousal,all,72,gpu_mlp,20260923,0.0925986626458633,subject,0.0789325997367781,0.0861475285136236,,,0.91328125,0.03125,0.88203125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7456613574215292,0.4787319341206846,0.571330596766548,0.0115940881270749,0.1114964861241677,0.07598481225928207,4.0,7.154615356913663,0.0685696563826889,0.0115940881270749,0.0544230136822242,0.024029006263174404,0.07455344038654871,0.024509586054553903,0.06575846421594804,1,14
DEAP,arousal,all,72,gpu_mlp,20260923,0.0846411029641658,subject,0.0588081553687957,0.1114964861241677,,,0.91328125,0.03125,0.88203125,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.4787319341206846,0.5633730370848504,0.0115940881270749,0.1114964861241677,0.0983433850267073,4.0,7.154615356913663,0.0685696563826889,0.0115940881270749,0.0544230136822242,0.016071446581476898,0.0999023979970928,0.004385141686571503,0.08811703698337327,0,15
DEAP,arousal,all,72,gpu_mlp,20261007,0.0429496424645237,subject,0.0874741650738292,0.0381532167767122,,,0.9144531250000001,0.03125,0.8832031250000001,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.25,0.2503886555990415,0.5034896269326583,0.546439269397182,0.0117336164553045,0.1172610494604619,0.03369704028599464,4.0,7.154615356913663,0.0179272019445088,0.0117336164553045,0.0325605615180068,0.0250224405200149,0.0264196003214077,0.0549136035558224,0.023333873565118287,1,16
DEAP,arousal,all,72,gpu_mlp,20261007,0.0583806517332149,subject,0.0826103726744643,0.0645006045419157,,,0.9144531250000001,0.03125,0.8832031250000001,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.5,0.5002646601890488,0.5034896269326583,0.5618702786658732,0.0117336164553045,0.1172610494604619,0.05696713549580914,4.0,7.154615356913663,0.0179272019445088,0.0117336164553045,0.0325605615180068,0.040453449788706096,0.0527669880866112,0.050049811156457506,0.04660396877493279,1,17
DEAP,arousal,all,72,gpu_mlp,20261007,0.0412048289981946,subject,0.0872582986269332,0.090979186777726,,,0.9144531250000001,0.03125,0.8832031250000001,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,0.75,0.7510836816523201,0.5034896269326583,0.544694455930853,0.0117336164553045,0.1172610494604619,0.0803531020720463,4.0,7.154615356913663,0.0179272019445088,0.0117336164553045,0.0325605615180068,0.0232776270536858,0.0792455703224215,0.0546977371089264,0.06998993535116993,1,18
DEAP,arousal,all,72,gpu_mlp,20261007,0.0417570170749663,subject,0.0917575348080217,0.1172610494604619,,,0.9144531250000001,0.03125,0.8832031250000001,1280,32,40,1.0,0.5890625,0.8218749999999999,counterfactual_dose,1.0,1.0,0.5034896269326583,0.5452466440076247,0.0117336164553045,0.1172610494604619,0.10356532532425952,4.0,7.154615356913663,0.0179272019445088,0.0117336164553045,0.0325605615180068,0.023829815130457496,0.10552743300515739,0.05919697329001491,0.09320215860338316,1,19
