dataset,task,representation,model,split_seed,partition,audit_count_in_stratum,stratum_coreset_score
CASE,valence,wearable_core,linear_logistic,20260813,audit,2,0.04600376821444898
CASE,valence,wearable_core,linear_logistic,20260829,heldout,2,0.04600376821444898
CASE,valence,wearable_core,linear_logistic,20260911,heldout,2,0.04600376821444898
CASE,valence,wearable_core,linear_logistic,20260923,audit,2,0.04600376821444898
CASE,valence,wearable_core,linear_logistic,20261007,heldout,2,0.04600376821444898
CEAP,arousal,cardiovascular,gpu_mlp,20260813,audit,3,0.14237803376923858
CEAP,arousal,cardiovascular,gpu_mlp,20260829,heldout,3,0.14237803376923858
CEAP,arousal,cardiovascular,gpu_mlp,20260911,audit,3,0.14237803376923858
CEAP,arousal,cardiovascular,gpu_mlp,20260923,audit,3,0.14237803376923858
CEAP,arousal,cardiovascular,gpu_mlp,20261007,heldout,3,0.14237803376923858
CEAP,arousal,cardiovascular,linear_logistic,20260813,heldout,2,0.034337441056322374
CEAP,arousal,cardiovascular,linear_logistic,20260829,audit,2,0.034337441056322374
CEAP,arousal,cardiovascular,linear_logistic,20260911,heldout,2,0.034337441056322374
CEAP,arousal,cardiovascular,linear_logistic,20260923,heldout,2,0.034337441056322374
CEAP,arousal,cardiovascular,linear_logistic,20261007,audit,2,0.034337441056322374
CEAP,arousal,electrodermal_thermal,gpu_mlp,20260813,heldout,2,0.3353633491507143
CEAP,arousal,electrodermal_thermal,gpu_mlp,20260829,audit,2,0.3353633491507143
CEAP,arousal,electrodermal_thermal,gpu_mlp,20260911,heldout,2,0.3353633491507143
CEAP,arousal,electrodermal_thermal,gpu_mlp,20260923,heldout,2,0.3353633491507143
CEAP,arousal,electrodermal_thermal,gpu_mlp,20261007,audit,2,0.3353633491507143
CEAP,arousal,electrodermal_thermal,linear_logistic,20260813,audit,3,0.010157357078414421
CEAP,arousal,electrodermal_thermal,linear_logistic,20260829,heldout,3,0.010157357078414421
CEAP,arousal,electrodermal_thermal,linear_logistic,20260911,audit,3,0.010157357078414421
CEAP,arousal,electrodermal_thermal,linear_logistic,20260923,audit,3,0.010157357078414421
CEAP,arousal,electrodermal_thermal,linear_logistic,20261007,heldout,3,0.010157357078414421
CEAP,arousal,minimal_pair,gpu_mlp,20260813,heldout,3,0.059696102083226406
CEAP,arousal,minimal_pair,gpu_mlp,20260829,heldout,3,0.059696102083226406
