dataset,task,representation,model,split_seed,identity_mean,identity_sd,action_mean,action_sd,displacement_mean,displacement_sd,decision_flip_fraction,z_identity_mean,z_identity_sd,z_action_mean,z_action_sd,z_displacement_mean,z_displacement_sd,z_decision_flip_fraction
EPPVR,valence,normalized_asymmetry,linear_logistic,20260829,0.1172845391740929,0.053459095060062904,0.12172484238773443,0.039793545669168866,0.004440303213641538,0.013684937775355238,0.0,-1.0014383552287924,-1.2434641036999718,-0.9849719760831761,-1.1576953506008758,1.0325888244862,-1.3001600860198503,-0.7827236356913372
EPPVR,valence,normalized_asymmetry,linear_logistic,20260911,0.10988942486566144,0.058455259739069836,0.11504410199626702,0.04550342621835234,0.005154677130605554,0.013277478117267375,0.0,-1.043426275976995,-1.1302812332170449,-1.0413626987575555,-0.9622510926532836,1.0449477019326794,-1.324969573848327,-0.7827236356913372
EPPVR,valence,normalized_asymmetry,linear_logistic,20260923,0.0746799132943009,0.04364614192790858,0.08811397853951244,0.03540413198331222,0.01343406524521154,0.008611529330875212,0.0,-1.2433385585708763,-1.4657662644110587,-1.26867419934755,-1.3079411733055095,1.1881835348913015,-1.6090708273749486,-0.7827236356913372
EPPVR,valence,normalized_asymmetry,linear_logistic,20261007,0.06859431271038194,0.027063860183840112,0.08434982222408996,0.023978312463563762,0.015755509513708015,0.0033069046865178376,0.0,-1.2778913327898593,-1.841420464689212,-1.3004466500712908,-1.6990370637089773,1.2283451988768936,-1.9320599084693066,-0.7827236356913372
EPPVR,valence,relative_power,gpu_mlp,20260813,0.11632157268481963,0.06424843173051738,0.12037329668307481,0.04615392511576763,0.004051723998255194,0.018241215294393626,0.0,-1.006905878643364,-0.9990429980266756,-0.9963800887394545,-0.9399850796945294,1.0258662905482052,-1.022736519274089,-0.7827236356913372
EPPVR,valence,relative_power,gpu_mlp,20260829,0.15900973092260282,0.06728529143758052,0.15130187005473456,0.04630318677857034,-0.007707860867868253,0.02099158422709071,0.0,-0.7645313959485939,-0.9302461266297809,-0.7353185144949307,-0.9348759824594441,0.822422037152801,-0.8552714875706215,-0.7827236356913372
EPPVR,valence,relative_power,gpu_mlp,20260911,0.13142831005239455,0.06452090345790192,0.1310792172540416,0.04780747599245645,-0.00034909279835297277,0.01693507982657109,0.0,-0.9211329662989998,-0.992870436829803,-0.9060136678765243,-0.8833854676204638,0.9497308743997058,-1.1022647654404785,-0.7827236356913372
EPPVR,valence,relative_power,gpu_mlp,20260923,0.10995413674790967,0.06092851544841569,0.1156555886276961,0.04453467448127325,0.005701451879786422,0.016662368930254037,0.0,-1.043058855370635,-1.0742522192419306,-1.036201268881303,-0.9954106242333164,1.0544070648174197,-1.1188696428279028,-0.7827236356913372
EPPVR,valence,relative_power,gpu_mlp,20261007,0.09374892778470352,0.03455868466963701,0.10486532367905418,0.027876443853397735,0.011116395894350657,0.006804337455043863,0.0,-1.1350686609363696,-1.6716330770491334,-1.1272796228731863,-1.5656074078158664,1.1480871780835347,-1.719107499612795,-0.7827236356913372
EPPVR,valence,relative_power,linear_logistic,20260813,0.07752527858351503,0.045031219382331185,0.0904858864956676,0.03605016344567024,0.012960607912152589,0.00919544872867981,0.0,-1.2271831663375208,-1.4343887874452883,-1.2486534238156153,-1.2858280767733208,1.1799925847229635,-1.573517022464229,-0.7827236356913372
EPPVR,valence,relative_power,linear_logistic,20260829,0.10747244041667917,0.047863166802993004,0.11463679621326384,0.03649001387002368,0.007164355796584683,0.011390681030788245,0.0,-1.0571494109091757,-1.3702339889707642,-1.0448006810929173,-1.270772378312521,1.079715729921713,-1.43985326459573,-0.7827236356913372
EPPVR,valence,relative_power,linear_logistic,20260911,0.08796104448005142,0.04473634263203896,0.09882636221238866,0.03711881507346818,0.010865317732337256,0.00794582600913466,0.0,-1.16793105837335,-1.4410689109362107,-1.1782532248025375,-1.249249058595905,1.143743452535717,-1.6496043087399603,-0.7827236356913372
EPPVR,valence,relative_power,linear_logistic,20260923,0.07304371771141345,0.04246836724868714,0.0868064080010083,0.03466886965263221,0.013762690289594854,0.008169079328955935,0.0,-1.2526285367372056,-1.4924475144380067,-1.2797111268875199,-1.3331085650536822,1.1938688441571237,-1.6360108144864054,-0.7827236356913372
EPPVR,valence,relative_power,linear_logistic,20261007,0.06134999989727795,0.02325256244916615,0.07823525165343384,0.02132432471401896,0.016885251756155892,0.002171125544479016,0.0,-1.319023034016573,-1.927761417317943,-1.3520584525240809,-1.7898807620742538,1.2478900696916935,-2.001215463481757,-0.7827236356913372
SEED-IV,arousal,all,gpu_mlp,20260813,0.10977890643958682,0.02061026355389714,0.10977890643958682,0.02061026355389714,0.0,0.0,0.0,1.9399549773218046,1.9329575408936805,1.9399549773218046,1.9329575408936805,0.0,0.0,0.0
SEED-IV,arousal,all,gpu_mlp,20260829,0.11038821717484933,0.020795069801520426,0.11038821717484933,0.020795069801520426,0.0,0.0,0.0,1.9665971565386837,1.9702702664767051,1.9665971565386837,1.9702702664767051,0.0,0.0,0.0
SEED-IV,arousal,all,gpu_mlp,20260911,0.11010895111653066,0.0203317601801095,0.11010895111653066,0.0203317601801095,0.0,0.0,0.0,1.9543862172849842,1.8767271910341483,1.9543862172849842,1.8767271910341483,0.0,0.0,0.0
SEED-IV,arousal,all,gpu_mlp,20260923,0.10920624325576289,0.02118349330760716,0.10920624325576289,0.02118349330760716,0.0,0.0,0.0,1.9149152163404513,2.0486936957654907,1.9149152163404513,2.0486936957654907,0.0,0.0,0.0
SEED-IV,arousal,all,gpu_mlp,20261007,0.11059916909856868,0.02102813595770869,0.11059916909856868,0.02102813595770869,0.0,0.0,0.0,1.9758210527095843,2.017326757479487,1.9758210527095843,2.017326757479487,0.0,0.0,0.0
SEED-IV,arousal,all,linear_logistic,20260813,0.0720343493772584,0.014104909829974595,0.0720343493772584,0.014104909829974595,0.0,0.0,0.0,0.2895700496985538,0.6195145082965283,0.2895700496985538,0.6195145082965283,0.0,0.0,0.0
SEED-IV,arousal,all,linear_logistic,20260829,0.0724526589436533,0.01423007324175175,0.0724526589436533,0.01423007324175175,0.0,0.0,0.0,0.30786068170461306,0.6447852342418758,0.30786068170461306,0.6447852342418758,0.0,0.0,0.0
SEED-IV,arousal,all,linear_logistic,20260911,0.07225676936517225,0.01391119893482115,0.07225676936517225,0.01391119893482115,0.0,0.0,0.0,0.299295388243367,0.5804039177929214,0.299295388243367,0.5804039177929214,0.0,0.0,0.0
SEED-IV,arousal,all,linear_logistic,20260923,0.07164953546702596,0.014486266030206717,0.07164953546702596,0.014486266030206717,0.0,0.0,0.0,0.2727440189588461,0.6965110353709366,0.2727440189588461,0.6965110353709366,0.0,0.0,0.0
SEED-IV,arousal,all,linear_logistic,20261007,0.07259947506449729,0.014396909422093651,0.07259947506449729,0.014396909422093651,0.0,0.0,0.0,0.3142802328089729,0.6784697697728758,0.3142802328089729,0.6784697697728758,0.0,0.0,0.0
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260813,0.05811428469590097,0.008136975222699508,0.05811428469590097,0.008136975222699508,0.0,0.0,0.0,-0.3190863164025628,-0.5854226037463914,-0.3190863164025628,-0.5854226037463914,0.0,0.0,0.0
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260829,0.0597225896350422,0.008516788709113907,0.0597225896350422,0.008516788709113907,0.0,0.0,0.0,-0.2487630052507702,-0.508737553464971,-0.2487630052507702,-0.508737553464971,0.0,0.0,0.0
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260911,0.05832460526457707,0.008045852502946503,0.05832460526457707,0.008045852502946503,0.0,0.0,0.0,-0.3098900263006815,-0.6038204505738074,-0.3098900263006815,-0.6038204505738074,0.0,0.0,0.0
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20260923,0.05951987324201843,0.008755930374655373,0.05951987324201843,0.008755930374655373,0.0,0.0,0.0,-0.2576268019321332,-0.4604544058085936,-0.2576268019321332,-0.4604544058085936,0.0,0.0,0.0
SEED-IV,arousal,normalized_asymmetry,gpu_mlp,20261007,0.05804907489260268,0.00820998027295233,0.05804907489260268,0.00820998027295233,0.0,0.0,0.0,-0.3219376222562535,-0.5706827481338735,-0.3219376222562535,-0.5706827481338735,0.0,0.0,0.0
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260813,0.03734309992395965,0.005345076301157857,0.03734309992395965,0.005345076301157857,0.0,0.0,0.0,-1.2273086653860594,-1.1491121957096224,-1.2273086653860594,-1.1491121957096224,0.0,0.0,0.0
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260829,0.03840115975221503,0.005600326399246558,0.03840115975221503,0.005600326399246558,0.0,0.0,0.0,-1.1810448824996216,-1.0975767255212014,-1.1810448824996216,-1.0975767255212014,0.0,0.0,0.0
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260911,0.03748081366467458,0.005285139818678091,0.03748081366467458,0.005285139818678091,0.0,0.0,0.0,-1.221287116858487,-1.1612134831495253,-1.221287116858487,-1.1612134831495253,0.0,0.0,0.0
SEED-IV,arousal,normalized_asymmetry,linear_logistic,20260923,0.0382689592989461,0.005757256517709643,0.0382689592989461,0.005757256517709643,0.0,0.0,0.0,-1.1868253619245017,-1.0658922423328374,-1.1868253619245017,-1.0658922423328374,0.0,0.0,0.0
