population,task,split_seed,fold,nominal_dose,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,candidate_min,candidate_max,candidate_size,intervention_block_size,removed_control_size,n_train,n_test,subject_coverage,row_overlap_with_test
evaluation_population,arousal,20260829,s4_r1,0.5,0.4318839979552241,0.29239506604837295,0.3928571428571428,0.11054812497152393,0.5316031812778753,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260829,s4_r1,0.75,0.9548078419540095,0.5125747946272152,0.3928571428571428,0.11054812497152393,0.5316031812778753,21,10,10,168,21,1.0,0
evaluation_population,arousal,20260829,s4_r1,1.0,1.0,0.5316031812778753,0.3928571428571428,0.11054812497152393,0.5316031812778753,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s0_r0,0.0,0.0,0.004732118781357297,0.0,0.004732118781357297,0.556610897431465,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s0_r0,0.25,0.22784458303520758,0.1304747089888707,0.0,0.004732118781357297,0.556610897431465,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s0_r0,0.5,0.47957089877590825,0.26939712067394,0.2857142857142857,0.004732118781357297,0.556610897431465,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s0_r0,0.75,0.769298908474146,0.42929186080693,-0.1428571428571429,0.004732118781357297,0.556610897431465,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s0_r0,1.0,1.0,0.556610897431465,0.1428571428571428,0.004732118781357297,0.556610897431465,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s0_r1,0.0,0.0,0.004732118781357297,0.0,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s0_r1,0.25,0.261536833306317,0.19826661220276065,0.0714285714285714,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
evaluation_population,valence,20260829,s0_r1,0.5,0.4707084253469469,0.35305138034407463,0.0714285714285714,0.004732118781357297,0.7447215534424859,21,10,10,168,21,1.0,0
