task,representation,model,split_seed,identity_mean,identity_sd,action_mean,action_sd,displacement_mean,displacement_sd,decision_flip_fraction,z_identity_mean,z_identity_sd,z_action_mean,z_action_sd,z_displacement_mean,z_displacement_sd,z_decision_flip_fraction
arousal,relative_power,gpu_mlp,20260911,0.6495572972616476,0.272700584710469,0.6495572972616476,0.272700584710469,0.0,0.0,0.0,1.0616062407861284,0.740009254073465,1.0616062407861284,0.740009254073465,0.0,0.0,0.0
arousal,relative_power,gpu_mlp,20260923,0.6111138047973886,0.2934430849740486,0.6111138047973886,0.2934430849740486,0.0,0.0,0.0,0.8566665388131595,1.028195827517848,0.8566665388131595,1.028195827517848,0.0,0.0,0.0
arousal,relative_power,gpu_mlp,20261007,0.3144893280119826,0.21561710506025097,0.3144893280119826,0.21561710506025097,0.0,0.0,0.0,-0.7246188224688777,-0.05308184833154215,-0.7246188224688777,-0.05308184833154215,0.0,0.0,0.0
arousal,relative_power,linear_logistic,20260813,0.5436627079358289,0.2834222764258009,0.5436627079358289,0.2834222764258009,0.0,0.0,0.0,0.4970892266995532,0.8889714118512234,0.4970892266995532,0.8889714118512234,0.0,0.0,0.0
arousal,relative_power,linear_logistic,20260829,0.541260674727786,0.31556688311841313,0.541260674727786,0.31556688311841313,0.0,0.0,0.0,0.4842841473940465,1.3355735060899165,0.4842841473940465,1.3355735060899165,0.0,0.0,0.0
arousal,relative_power,linear_logistic,20260911,0.5754032760101411,0.28120966458231816,0.5754032760101411,0.28120966458231816,0.0,0.0,0.0,0.6662960844700822,0.8582304202912351,0.6662960844700822,0.8582304202912351,0.0,0.0,0.0
arousal,relative_power,linear_logistic,20260923,0.5406699171321419,0.3111222701620569,0.5406699171321419,0.3111222701620569,0.0,0.0,0.0,0.4811348579349229,1.2738221375517746,0.4811348579349229,1.2738221375517746,0.0,0.0,0.0
arousal,relative_power,linear_logistic,20261007,0.24100920275670668,0.19013743325872037,0.24100920275670668,0.19013743325872037,0.0,0.0,0.0,-1.1163364840406789,-0.4070844620792922,-1.1163364840406789,-0.4070844620792922,0.0,0.0,0.0
valence,all,gpu_mlp,20260813,0.29620368035763844,0.18426592641033507,0.29620368035763844,0.18426592641033507,0.0,0.0,0.0,-0.8220983941843776,-0.4886604253474436,-0.8220983941843776,-0.4886604253474436,0.0,0.0,0.0
valence,all,gpu_mlp,20260829,0.5645595291847345,0.24075548441255268,0.5645595291847345,0.24075548441255268,0.0,0.0,0.0,0.6084887912140066,0.296179008143175,0.6084887912140066,0.296179008143175,0.0,0.0,0.0
valence,all,gpu_mlp,20260911,0.4204261389603796,0.1894853504240855,0.4204261389603796,0.1894853504240855,0.0,0.0,0.0,-0.1598767277199231,-0.41614419525163693,-0.1598767277199231,-0.41614419525163693,0.0,0.0,0.0
valence,all,gpu_mlp,20260923,0.462438237158058,0.23346606762057265,0.462438237158058,0.23346606762057265,0.0,0.0,0.0,0.0640869741184573,0.194903268912395,0.0640869741184573,0.194903268912395,0.0,0.0,0.0
valence,all,gpu_mlp,20261007,0.4123124078536218,0.1855758734995156,0.4123124078536218,0.1855758734995156,0.0,0.0,0.0,-0.20313048871610975,-0.4704606346651591,-0.20313048871610975,-0.4704606346651591,0.0,0.0,0.0
valence,all,linear_logistic,20260813,0.22115806209095382,0.1561837154043453,0.22115806209095382,0.1561837154043453,0.0,0.0,0.0,-1.2221615949003435,-0.87882149858933,-1.2221615949003435,-0.87882149858933,0.0,0.0,0.0
valence,all,linear_logistic,20260829,0.47614764578517066,0.24098142806578707,0.47614764578517066,0.24098142806578707,0.0,0.0,0.0,0.13717091988322408,0.29931816332648015,0.13717091988322408,0.29931816332648015,0.0,0.0,0.0
valence,all,linear_logistic,20260911,0.32728068023939577,0.1701808417954082,0.32728068023939577,0.1701808417954082,0.0,0.0,0.0,-0.6564289743234599,-0.6843519871297584,-0.6564289743234599,-0.6843519871297584,0.0,0.0,0.0
valence,all,linear_logistic,20260923,0.37450176424311,0.225775580683312,0.37450176424311,0.225775580683312,0.0,0.0,0.0,-0.40469651553192554,0.08805524912669044,-0.40469651553192554,0.08805524912669044,0.0,0.0,0.0
valence,all,linear_logistic,20261007,0.31934686143126145,0.16458292759294318,0.31934686143126145,0.16458292759294318,0.0,0.0,0.0,-0.6987236348192054,-0.7621267824506789,-0.6987236348192054,-0.7621267824506789,0.0,0.0,0.0
valence,baseline_delta,gpu_mlp,20260813,0.3075799233845381,0.18998392478751203,0.3075799233845381,0.18998392478751203,0.0,0.0,0.0,-0.7614523990872246,-0.4092172368050998,-0.7614523990872246,-0.4092172368050998,0.0,0.0,0.0
valence,baseline_delta,gpu_mlp,20260829,0.5787811754536728,0.24276762634460528,0.5787811754536728,0.24276762634460528,0.0,0.0,0.0,0.6843034417853846,0.32413476474500363,0.6843034417853846,0.32413476474500363,0.0,0.0,0.0
valence,baseline_delta,gpu_mlp,20260911,0.4244267573583097,0.19091922549486076,0.4244267573583097,0.19091922549486076,0.0,0.0,0.0,-0.13854969706729392,-0.39622260729728637,-0.13854969706729392,-0.39622260729728637,0.0,0.0,0.0
valence,baseline_delta,gpu_mlp,20260923,0.4940243360946941,0.23985250555684814,0.4940243360946941,0.23985250555684814,0.0,0.0,0.0,0.23247036718767747,0.28363344328785545,0.23247036718767747,0.28363344328785545,0.0,0.0,0.0
valence,baseline_delta,gpu_mlp,20261007,0.4479055822711505,0.19831465577493165,0.4479055822711505,0.19831465577493165,0.0,0.0,0.0,-0.013385642714359894,-0.2934739663678893,-0.013385642714359894,-0.2934739663678893,0.0,0.0,0.0
valence,baseline_delta,linear_logistic,20260813,0.23118478555942168,0.16282009823531882,0.23118478555942168,0.16282009823531882,0.0,0.0,0.0,-1.168709798830993,-0.7866187070347627,-1.168709798830993,-0.7866187070347627,0.0,0.0,0.0
valence,baseline_delta,linear_logistic,20260829,0.49147793077868684,0.24545270655457854,0.49147793077868684,0.24545270655457854,0.0,0.0,0.0,0.21889564977483875,0.36144001027001843,0.21889564977483875,0.36144001027001843,0.0,0.0,0.0
valence,baseline_delta,linear_logistic,20260911,0.3311049522894811,0.1720304516700023,0.3311049522894811,0.1720304516700023,0.0,0.0,0.0,-0.6360420343247931,-0.6586543747303465,-0.6360420343247931,-0.6586543747303465,0.0,0.0,0.0
valence,baseline_delta,linear_logistic,20260923,0.4061774801077877,0.23796505289097494,0.4061774801077877,0.23796505289097494,0.0,0.0,0.0,-0.235835380578519,0.2574100608891805,-0.235835380578519,0.2574100608891805,0.0,0.0,0.0
valence,baseline_delta,linear_logistic,20261007,0.35360382883287444,0.18084256452539677,0.35360382883287444,0.18084256452539677,0.0,0.0,0.0,-0.5161020195663412,-0.536223010317623,-0.5161020195663412,-0.536223010317623,0.0,0.0,0.0
valence,normalized_asymmetry,gpu_mlp,20260813,0.14316560943115614,0.08767865087354078,0.14316560943115614,0.08767865087354078,0.0,0.0,0.0,-1.6379341738121054,-1.8305987462619748,-1.6379341738121054,-1.8305987462619748,0.0,0.0,0.0
valence,normalized_asymmetry,gpu_mlp,20260829,0.356874388892844,0.17305982255163244,0.356874388892844,0.17305982255163244,0.0,0.0,0.0,-0.4986668813671256,-0.6443527783263064,-0.4986668813671256,-0.6443527783263064,0.0,0.0,0.0
valence,normalized_asymmetry,gpu_mlp,20260911,0.24298895310921587,0.10824750029570099,0.24298895310921587,0.10824750029570099,0.0,0.0,0.0,-1.1057825665577312,-1.5448247961912673,-1.1057825665577312,-1.5448247961912673,0.0,0.0,0.0
valence,normalized_asymmetry,gpu_mlp,20260923,0.31740074948388863,0.1785069868793077,0.31740074948388863,0.1785069868793077,0.0,0.0,0.0,-0.7090982282012042,-0.5686724310859347,-0.7090982282012042,-0.5686724310859347,0.0,0.0,0.0
valence,normalized_asymmetry,gpu_mlp,20261007,0.2690087658476693,0.12102107481688137,0.2690087658476693,0.12102107481688137,0.0,0.0,0.0,-0.9670726750730085,-1.3673547407438544,-0.9670726750730085,-1.3673547407438544,0.0,0.0,0.0
valence,normalized_asymmetry,linear_logistic,20260813,0.09720161955992068,0.06330218443256194,0.09720161955992068,0.06330218443256194,0.0,0.0,0.0,-1.8829651473756344,-2.1692739419731866,-1.8829651473756344,-2.1692739419731866,0.0,0.0,0.0
