task,representation,n_features,model,split_seed,nominal_dose,unseen_balanced_accuracy,dose_balanced_accuracy,subject_exposure_effect,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,encoding_margin,dataset,population,axis,dose_zero_exposure_effect,dose_zero_label_opportunity,dose_zero_metadata_prior_opportunity,dose_induced_amplification,opportunity_delta,metadata_prior_delta,dose_encoding_interaction,model_capacity,material_optimism_event,probability_identity
arousal,all,72,gpu_mlp,20260923,0.5,0.436431989063568,0.47881066302118935,0.04237867395762135,0.4968249488168865,0.36014722226636187,0.06036719816131584,0.4571428571428572,EPPVR,audit_population,subject,-0.017429938482570073,0.028281514383108507,0.00972222222222222,0.05980861244019142,0.33186570788325337,0.05064497593909362,0.15171003788948728,4.0,1,0.605350101460822
arousal,all,72,gpu_mlp,20260923,0.75,0.436431989063568,0.4805194805194805,0.04408749145591251,0.7162588300027207,0.5054923810586868,0.14193582561229617,0.4571428571428572,EPPVR,audit_population,subject,-0.017429938482570073,0.028281514383108507,0.00972222222222222,0.06151742993848258,0.47721086667557827,0.13221360339007396,0.21815353905169294,4.0,1,0.9381207325592349
arousal,all,72,gpu_mlp,20260923,1.0,0.436431989063568,0.49282296650717705,0.05639097744360905,1.0,0.6964755853111579,0.12744406737053798,0.4571428571428572,EPPVR,audit_population,subject,-0.017429938482570073,0.028281514383108507,0.00972222222222222,0.07382091592617912,0.6681940709280494,0.11772184514831577,0.30546014670996546,4.0,1,0.9792179458611627
arousal,all,72,gpu_mlp,20261007,0.25,0.47607655502392343,0.43403964456596034,-0.042036910457963095,0.2221230571983165,0.18343288220388249,0.028479236812570155,0.45000000000000007,EPPVR,audit_population,subject,-0.027341079972658888,0.03673741436081172,-0.0010198135198135122,-0.014695830485304207,0.14669546784307078,0.029499050332383668,0.06601296052938185,4.0,0,0.1980928321165938
arousal,all,72,gpu_mlp,20261007,0.5,0.47607655502392343,0.4589883800410116,-0.01708817498291182,0.457641156368368,0.3399347258332666,-0.02244345161011828,0.45000000000000007,EPPVR,audit_population,subject,-0.027341079972658888,0.03673741436081172,-0.0010198135198135122,0.01025290498974707,0.3031973114724549,-0.021423638090304765,0.1364387901626047,4.0,0,0.25370689105261046
arousal,all,72,gpu_mlp,20261007,0.75,0.47607655502392343,0.43677375256322626,-0.03930280246069717,0.6601373945010655,0.4754712082049724,-0.008498445998445977,0.45000000000000007,EPPVR,audit_population,subject,-0.027341079972658888,0.03673741436081172,-0.0010198135198135122,-0.011961722488038284,0.43873379384416067,-0.007478632478632465,0.19743020722987234,4.0,0,0.5231577344658747
arousal,all,72,gpu_mlp,20261007,1.0,0.47607655502392343,0.46479835953520166,-0.011278195488721776,0.9,0.6331187898085061,0.028479236812570155,0.45000000000000007,EPPVR,audit_population,subject,-0.027341079972658888,0.03673741436081172,-0.0010198135198135122,0.016062884483937112,0.5963813754476944,0.029499050332383668,0.26837161895146255,4.0,0,0.8551483021654837
arousal,all,72,linear_logistic,20260813,0.25,0.4261790840738209,0.4319890635680109,0.005809979494190043,0.24297536880791265,0.19971834196406696,0.0536401098901099,0.4952380952380952,EPPVR,audit_population,subject,0.048530416951469646,0.03832048053574832,0.06730769230769232,-0.0427204374572796,0.16139786142831863,-0.013667582417582418,0.07993036946926256,1.0,0,0.22252048143536088
arousal,all,72,linear_logistic,20260813,0.5,0.4261790840738209,0.4395078605604921,0.013328776486671245,0.4972113779556527,0.37003834833545224,0.08392857142857144,0.4952380952380952,EPPVR,audit_population,subject,0.048530416951469646,0.03832048053574832,0.06730769230769232,-0.0352016404647984,0.3317178677997039,0.016620879120879117,0.16427932500556763,1.0,0,0.6158131972293306
arousal,all,72,linear_logistic,20260813,0.75,0.4261790840738209,0.4589883800410116,0.03280929596719073,0.734684368907701,0.5273918797214072,0.09213522588522591,0.4952380952380952,EPPVR,audit_population,subject,0.048530416951469646,0.03832048053574832,0.06730769230769232,-0.015721120984278913,0.4890713991856589,0.02482753357753359,0.24220678816813582,1.0,0,0.853028339373343
