task,representation,n_features,model,split_seed,nominal_dose,unseen_balanced_accuracy,dose_balanced_accuracy,subject_exposure_effect,achieved_dose,normalized_mutual_information,metadata_prior_opportunity,population
arousal,normalized_asymmetry,12,linear_logistic,20260829,0.0,0.48154477101845516,0.4863294600136705,0.004784688995215336,0.0,0.02710409737226659,0.00972222222222222,audit_population
arousal,relative_power,24,gpu_mlp,20260829,0.0,0.5683526999316473,0.5321257689678742,-0.03622693096377305,0.0,0.02710409737226659,0.00972222222222222,audit_population
arousal,relative_power,24,linear_logistic,20260829,0.0,0.49008885850991113,0.5051264524948735,0.015037593984962405,0.0,0.02710409737226659,0.00972222222222222,audit_population
arousal,all,72,gpu_mlp,20260829,0.25,0.4805194805194805,0.47983595352016406,-0.0006835269993164528,0.24568983923001922,0.19730505464104242,0.019973221223221215,audit_population
arousal,all,72,linear_logistic,20260829,0.25,0.4887218045112782,0.4815447710184552,-0.007177033492823004,0.24568983923001922,0.19730505464104242,0.019973221223221215,audit_population
arousal,baseline_delta,72,gpu_mlp,20260829,0.25,0.474025974025974,0.44976076555023925,-0.024265208475734767,0.24568983923001922,0.19730505464104242,0.019973221223221215,audit_population
arousal,baseline_delta,72,linear_logistic,20260829,0.25,0.46172248803827753,0.4719753930280246,0.01025290498974707,0.24568983923001922,0.19730505464104242,0.019973221223221215,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260829,0.25,0.42857142857142855,0.43267259056732743,0.004101161995898883,0.24568983923001922,0.19730505464104242,0.019973221223221215,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260829,0.25,0.48154477101845516,0.47812713602187285,-0.0034176349965823194,0.24568983923001922,0.19730505464104242,0.019973221223221215,audit_population
arousal,relative_power,24,gpu_mlp,20260829,0.25,0.5683526999316473,0.5543403964456596,-0.014012303485987698,0.24568983923001922,0.19730505464104242,0.019973221223221215,audit_population
arousal,relative_power,24,linear_logistic,20260829,0.25,0.49008885850991113,0.49658236500341757,0.00649350649350644,0.24568983923001922,0.19730505464104242,0.019973221223221215,audit_population
arousal,all,72,gpu_mlp,20260829,0.5,0.4805194805194805,0.47710184552289814,-0.003417634996582375,0.4968301794493207,0.37154243494889283,0.07135142635142634,audit_population
arousal,all,72,linear_logistic,20260829,0.5,0.4887218045112782,0.5010252904989747,0.012303485987696483,0.4968301794493207,0.37154243494889283,0.07135142635142634,audit_population
arousal,baseline_delta,72,gpu_mlp,20260829,0.5,0.474025974025974,0.46924128503075874,-0.0047846889952152805,0.4968301794493207,0.37154243494889283,0.07135142635142634,audit_population
arousal,baseline_delta,72,linear_logistic,20260829,0.5,0.46172248803827753,0.4989747095010253,0.03725222146274776,0.4968301794493207,0.37154243494889283,0.07135142635142634,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260829,0.5,0.42857142857142855,0.4504442925495557,0.021872863978127155,0.4968301794493207,0.37154243494889283,0.07135142635142634,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260829,0.5,0.48154477101845516,0.4753930280246069,-0.0061517429938482415,0.4968301794493207,0.37154243494889283,0.07135142635142634,audit_population
arousal,relative_power,24,gpu_mlp,20260829,0.5,0.5683526999316473,0.5331510594668489,-0.035201640464798345,0.4968301794493207,0.37154243494889283,0.07135142635142634,audit_population
arousal,relative_power,24,linear_logistic,20260829,0.5,0.49008885850991113,0.5256322624743677,0.035543403964456544,0.4968301794493207,0.37154243494889283,0.07135142635142634,audit_population
arousal,all,72,gpu_mlp,20260829,0.75,0.4805194805194805,0.5338345864661654,0.053315105946684926,0.7037504280413203,0.5184019589722606,0.15122779997779995,audit_population
arousal,all,72,linear_logistic,20260829,0.75,0.4887218045112782,0.5205058099794941,0.031784005468215915,0.7037504280413203,0.5184019589722606,0.15122779997779995,audit_population
arousal,baseline_delta,72,gpu_mlp,20260829,0.75,0.474025974025974,0.5133287764866712,0.03930280246069717,0.7037504280413203,0.5184019589722606,0.15122779997779995,audit_population
arousal,baseline_delta,72,linear_logistic,20260829,0.75,0.46172248803827753,0.4719753930280246,0.01025290498974707,0.7037504280413203,0.5184019589722606,0.15122779997779995,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260829,0.75,0.42857142857142855,0.47163362952836635,0.0430622009569378,0.7037504280413203,0.5184019589722606,0.15122779997779995,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260829,0.75,0.48154477101845516,0.49111414900888584,0.009569377990430672,0.7037504280413203,0.5184019589722606,0.15122779997779995,audit_population
arousal,relative_power,24,gpu_mlp,20260829,0.75,0.5683526999316473,0.5721120984278879,0.003759398496240629,0.7037504280413203,0.5184019589722606,0.15122779997779995,audit_population
arousal,relative_power,24,linear_logistic,20260829,0.75,0.49008885850991113,0.49555707450444286,0.005468215994531733,0.7037504280413203,0.5184019589722606,0.15122779997779995,audit_population
arousal,all,72,gpu_mlp,20260829,1.0,0.4805194805194805,0.48632946001367056,0.005809979494190043,1.0,0.7208149199262481,0.070008325008325,audit_population
arousal,all,72,linear_logistic,20260829,1.0,0.4887218045112782,0.49726589200273413,0.00854408749145591,1.0,0.7208149199262481,0.070008325008325,audit_population
arousal,baseline_delta,72,gpu_mlp,20260829,1.0,0.474025974025974,0.46274777853725224,-0.011278195488721776,1.0,0.7208149199262481,0.070008325008325,audit_population
arousal,baseline_delta,72,linear_logistic,20260829,1.0,0.46172248803827753,0.48120300751879697,0.01948051948051943,1.0,0.7208149199262481,0.070008325008325,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260829,1.0,0.42857142857142855,0.44668489405331513,0.01811346548188658,1.0,0.7208149199262481,0.070008325008325,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260829,1.0,0.48154477101845516,0.5023923444976076,0.020847573479152448,1.0,0.7208149199262481,0.070008325008325,audit_population
arousal,relative_power,24,gpu_mlp,20260829,1.0,0.5683526999316473,0.5741626794258373,0.005809979494190043,1.0,0.7208149199262481,0.070008325008325,audit_population
arousal,relative_power,24,linear_logistic,20260829,1.0,0.49008885850991113,0.5153793574846206,0.025290498974709474,1.0,0.7208149199262481,0.070008325008325,audit_population
arousal,all,72,gpu_mlp,20260911,0.0,0.45010252904989745,0.47915242652084755,0.029049897470950103,0.0,0.045325065194091685,0.015909090909090918,audit_population
arousal,all,72,linear_logistic,20260911,0.0,0.48632946001367056,0.49487354750512647,0.00854408749145591,0.0,0.045325065194091685,0.015909090909090918,audit_population
arousal,baseline_delta,72,gpu_mlp,20260911,0.0,0.5191387559808612,0.5266575529733424,0.007518796992481147,0.0,0.045325065194091685,0.015909090909090918,audit_population
arousal,baseline_delta,72,linear_logistic,20260911,0.0,0.531784005468216,0.5328092959671907,0.001025290498974707,0.0,0.045325065194091685,0.015909090909090918,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260911,0.0,0.4439507860560492,0.45864661654135336,0.014695830485304151,0.0,0.045325065194091685,0.015909090909090918,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260911,0.0,0.4688995215311005,0.45762132604237865,-0.011278195488721832,0.0,0.045325065194091685,0.015909090909090918,audit_population
arousal,relative_power,24,gpu_mlp,20260911,0.0,0.5136705399863295,0.5194805194805194,0.005809979494189932,0.0,0.045325065194091685,0.015909090909090918,audit_population
arousal,relative_power,24,linear_logistic,20260911,0.0,0.5341763499658236,0.5017088174982912,-0.03246753246753242,0.0,0.045325065194091685,0.015909090909090918,audit_population
arousal,all,72,gpu_mlp,20260911,0.25,0.45010252904989745,0.4818865345181135,0.031784005468216026,0.24694652520578472,0.2002118780001542,0.055018939393939405,audit_population
arousal,all,72,linear_logistic,20260911,0.25,0.48632946001367056,0.5088858509911142,0.022556390977443608,0.24694652520578472,0.2002118780001542,0.055018939393939405,audit_population
arousal,baseline_delta,72,gpu_mlp,20260911,0.25,0.5191387559808612,0.5249487354750513,0.005809979494190043,0.24694652520578472,0.2002118780001542,0.055018939393939405,audit_population
arousal,baseline_delta,72,linear_logistic,20260911,0.25,0.531784005468216,0.48735475051264526,-0.04442925495557076,0.24694652520578472,0.2002118780001542,0.055018939393939405,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260911,0.25,0.4439507860560492,0.45420369104579633,0.010252904989747125,0.24694652520578472,0.2002118780001542,0.055018939393939405,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260911,0.25,0.4688995215311005,0.4538619275461381,-0.015037593984962405,0.24694652520578472,0.2002118780001542,0.055018939393939405,audit_population
arousal,relative_power,24,gpu_mlp,20260911,0.25,0.5136705399863295,0.5314422419685577,0.017771701982228216,0.24694652520578472,0.2002118780001542,0.055018939393939405,audit_population
arousal,relative_power,24,linear_logistic,20260911,0.25,0.5341763499658236,0.5557074504442925,0.021531100478468845,0.24694652520578472,0.2002118780001542,0.055018939393939405,audit_population
arousal,all,72,gpu_mlp,20260911,0.5,0.45010252904989745,0.4965823650034176,0.04647983595352018,0.49207136214971736,0.35491352361124906,0.15294823232323235,audit_population
arousal,all,72,linear_logistic,20260911,0.5,0.48632946001367056,0.47231715652768286,-0.014012303485987698,0.49207136214971736,0.35491352361124906,0.15294823232323235,audit_population
arousal,baseline_delta,72,gpu_mlp,20260911,0.5,0.5191387559808612,0.5266575529733424,0.007518796992481147,0.49207136214971736,0.35491352361124906,0.15294823232323235,audit_population
arousal,baseline_delta,72,linear_logistic,20260911,0.5,0.531784005468216,0.518796992481203,-0.012987012987012991,0.49207136214971736,0.35491352361124906,0.15294823232323235,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260911,0.5,0.4439507860560492,0.46514012303485985,0.021189336978810647,0.49207136214971736,0.35491352361124906,0.15294823232323235,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260911,0.5,0.4688995215311005,0.4788106630211893,0.009911141490088815,0.49207136214971736,0.35491352361124906,0.15294823232323235,audit_population
arousal,relative_power,24,gpu_mlp,20260911,0.5,0.5136705399863295,0.5454545454545454,0.031784005468215915,0.49207136214971736,0.35491352361124906,0.15294823232323235,audit_population
arousal,relative_power,24,linear_logistic,20260911,0.5,0.5341763499658236,0.5293916609706083,-0.004784688995215336,0.49207136214971736,0.35491352361124906,0.15294823232323235,audit_population
arousal,all,72,gpu_mlp,20260911,0.75,0.45010252904989745,0.4955570745044429,0.04545454545454547,0.7394175875316934,0.50674992327808,0.07397727272727272,audit_population
arousal,all,72,linear_logistic,20260911,0.75,0.48632946001367056,0.47881066302118935,-0.007518796992481203,0.7394175875316934,0.50674992327808,0.07397727272727272,audit_population
arousal,baseline_delta,72,gpu_mlp,20260911,0.75,0.5191387559808612,0.5095693779904307,-0.009569377990430561,0.7394175875316934,0.50674992327808,0.07397727272727272,audit_population
arousal,baseline_delta,72,linear_logistic,20260911,0.75,0.531784005468216,0.4945317840054682,-0.037252221462747814,0.7394175875316934,0.50674992327808,0.07397727272727272,audit_population
arousal,normalized_asymmetry,12,gpu_mlp,20260911,0.75,0.4439507860560492,0.4538619275461381,0.00991114149008887,0.7394175875316934,0.50674992327808,0.07397727272727272,audit_population
arousal,normalized_asymmetry,12,linear_logistic,20260911,0.75,0.4688995215311005,0.4818865345181135,0.012987012987012991,0.7394175875316934,0.50674992327808,0.07397727272727272,audit_population
